advertisment_index,time_of_day,day_of_week,agency,text_image_ratio,number_of_users
1,07:10:46,Friday,Agency B,0.12525487165014493,742.0
10,04:50:07,Thursday,Agency B,0.5629365708242322,431.0
12,00:02:33,Wednesday,Agency C,0.04231051079504944,14.0
12,00:09:09,Wednesday,Agency C,0.04231051079504944,16.0
12,00:25:54,Wednesday,Agency C,0.04231051079504944,18.0
12,00:26:10,Wednesday,Agency C,0.04231051079504944,20.0
12,00:36:31,Wednesday,Agency C,0.04231051079504944,21.0
13,00:06:08,Thursday,Agency B,0.30154253097748296,0.0
13,00:07:29,Thursday,Agency B,0.30154253097748296,4.0
13,00:14:03,Thursday,Agency B,0.30154253097748296,5.0
13,00:14:17,Thursday,Agency B,0.30154253097748296,8.0
13,00:18:43,Thursday,Agency B,0.30154253097748296,9.0
13,00:30:31,Thursday,Agency B,0.30154253097748296,13.0
13,00:36:34,Thursday,Agency B,0.30154253097748296,17.0
13,00:45:03,Thursday,Agency B,0.30154253097748296,20.0
13,00:47:21,Thursday,Agency B,0.30154253097748296,23.0
13,00:50:15,Thursday,Agency B,0.30154253097748296,26.0
13,00:58:18,Thursday,Agency B,0.30154253097748296,29.0
28,01:00:12,Tuesday,Agency C,0.43531821175671936,144.0
28,01:18:54,Tuesday,Agency C,0.43531821175671936,145.0
30,03:02:23,Friday,Agency A,0.5482395814046933,329.0
30,03:02:53,Friday,Agency A,0.5482395814046933,332.0
30,03:29:14,Friday,Agency A,0.5482395814046933,334.0
30,03:30:53,Friday,Agency A,0.5482395814046933,335.0
30,03:30:56,Friday,Agency A,0.5482395814046933,337.0
30,03:34:14,Friday,Agency A,0.5482395814046933,341.0
30,03:40:34,Friday,Agency A,0.5482395814046933,342.0
32,14:38:53,Sunday,Agency E,0.8721751327410818,1437.0
32,14:54:08,Sunday,Agency E,0.8721751327410818,1441.0
33,09:22:59,Saturday,Agency A,0.3908559725811681,903.0
37,00:00:04,Saturday,Agency D,0.17921215248586897,3.0
37,00:00:05,Saturday,Agency D,0.17921215248586897,7.0
37,00:01:34,Saturday,Agency D,0.17921215248586897,11.0
37,00:01:53,Saturday,Agency D,0.17921215248586897,12.0
37,00:03:58,Saturday,Agency D,0.17921215248586897,15.0
37,00:04:10,Saturday,Agency D,0.17921215248586897,19.0
37,00:05:14,Saturday,Agency D,0.17921215248586897,23.0
37,00:07:58,Saturday,Agency D,0.17921215248586897,24.0
37,00:16:32,Saturday,Agency D,0.17921215248586897,25.0
37,00:17:29,Saturday,Agency D,0.17921215248586897,29.0
37,00:17:59,Saturday,Agency D,0.17921215248586897,30.0
37,00:21:42,Saturday,Agency D,0.17921215248586897,31.0
37,00:25:05,Saturday,Agency D,0.17921215248586897,35.0
37,00:25:10,Saturday,Agency D,0.17921215248586897,36.0
37,00:28:49,Saturday,Agency D,0.17921215248586897,40.0
37,00:28:49,Saturday,Agency D,0.17921215248586897,44.0
37,00:30:33,Saturday,Agency D,0.17921215248586897,46.0
37,00:31:30,Saturday,Agency D,0.17921215248586897,48.0
37,00:32:21,Saturday,Agency D,0.17921215248586897,49.0
37,00:34:11,Saturday,Agency D,0.17921215248586897,53.0
37,00:34:46,Saturday,Agency D,0.17921215248586897,57.0
37,00:35:45,Saturday,Agency D,0.17921215248586897,58.0
37,00:35:56,Saturday,Agency D,0.17921215248586897,60.0
37,00:36:30,Saturday,Agency D,0.17921215248586897,63.0
37,00:36:41,Saturday,Agency D,0.17921215248586897,65.0
37,00:37:55,Saturday,Agency D,0.17921215248586897,67.0
37,00:39:04,Saturday,Agency D,0.17921215248586897,71.0
37,00:40:57,Saturday,Agency D,0.17921215248586897,74.0
37,00:42:32,Saturday,Agency D,0.17921215248586897,76.0
37,00:42:33,Saturday,Agency D,0.17921215248586897,79.0
37,00:43:30,Saturday,Agency D,0.17921215248586897,82.0
37,00:45:06,Saturday,Agency D,0.17921215248586897,86.0
37,00:45:37,Saturday,Agency D,0.17921215248586897,87.0
